,id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
0,315bdafd,1,1078,1115,37,Nonproduction,Leftclick,Leftclick,NoChange,0,0
1,315bdafd,2,68362,68458,96,Nonproduction,Leftclick,Leftclick,NoChange,0,0
2,315bdafd,3,71155,71362,207,Nonproduction,Leftclick,Leftclick,NoChange,0,0
3,315bdafd,4,75243,75426,183,Nonproduction,Leftclick,Leftclick,NoChange,0,0
4,315bdafd,5,78091,78298,207,Nonproduction,Leftclick,Leftclick,NoChange,0,0
5,315bdafd,6,107978,108066,88,Nonproduction,Leftclick,Leftclick,NoChange,0,0
6,315bdafd,7,140402,140488,86,Input,q,q,q,1,1
7,315bdafd,8,141630,141687,57,Input,q,q,q,2,1
8,315bdafd,9,141846,141902,56,Input,q,q,q,3,1
9,315bdafd,10,142774,143266,492,Remove/Cut,Backspace,Backspace,q,2,1
10,315bdafd,11,143266,143300,34,Remove/Cut,Backspace,Backspace,q,1,1
11,315bdafd,12,143300,143333,33,Remove/Cut,Backspace,Backspace,q,0,0
12,315bdafd,13,143333,143365,32,Nonproduction,Backspace,Backspace,NoChange,0,0
13,315bdafd,14,143365,143399,34,Nonproduction,Backspace,Backspace,NoChange,0,0
14,315bdafd,15,143399,143431,32,Nonproduction,Backspace,Backspace,NoChange,0,0
15,315bdafd,16,143431,143465,34,Nonproduction,Backspace,Backspace,NoChange,0,0
16,315bdafd,17,143465,143497,32,Nonproduction,Backspace,Backspace,NoChange,0,0
17,315bdafd,18,143497,143510,13,Nonproduction,Backspace,Backspace,NoChange,0,0
18,315bdafd,19,144751,144894,143,Nonproduction,CapsLock,CapsLock,NoChange,0,0
19,315bdafd,20,145726,145822,96,Input,q,q,q,1,1
20,315bdafd,21,146287,146470,183,Nonproduction,CapsLock,CapsLock,NoChange,1,1
21,315bdafd,22,146542,146630,88,Input,q,q,q,2,1
22,315bdafd,23,146750,146830,80,Input,q,q,q,3,1
23,315bdafd,24,147054,147206,152,Input,q,q,q,4,1
24,315bdafd,25,147278,147367,89,Input,Space,Space, ,5,1
25,315bdafd,26,148966,149477,511,Remove/Cut,Backspace,Backspace, ,4,1
26,315bdafd,27,149477,149495,18,Remove/Cut,Backspace,Backspace,q,3,1
27,315bdafd,28,149495,149529,34,Remove/Cut,Backspace,Backspace,q,2,1
28,315bdafd,29,149529,149561,32,Remove/Cut,Backspace,Backspace,q,1,1
