,id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
0,b73648cf,1,7807,7925,118,Nonproduction,Leftclick,Leftclick,NoChange,0,0
1,b73648cf,2,132885,132890,5,Nonproduction,CapsLock,CapsLock,NoChange,0,0
2,b73648cf,3,135141,135228,87,Input,q,q,q,1,1
3,b73648cf,4,135771,135772,1,Nonproduction,CapsLock,CapsLock,NoChange,1,1
4,b73648cf,5,135953,136029,76,Input,q,q,q,2,1
5,b73648cf,6,136353,136437,84,Input,Space,Space, ,3,1
6,b73648cf,7,136442,136496,54,Input,q,q,q,4,2
7,b73648cf,8,136910,136995,85,Remove/Cut,Backspace,Backspace,q,3,1
8,b73648cf,9,137083,137155,72,Remove/Cut,Backspace,Backspace, ,2,1
9,b73648cf,10,137231,137305,74,Remove/Cut,Backspace,Backspace,q,1,1
10,b73648cf,11,137379,137514,135,Remove/Cut,Backspace,Backspace,q,0,0
11,b73648cf,12,137758,137758,0,Nonproduction,CapsLock,CapsLock,NoChange,0,0
12,b73648cf,13,138120,138200,80,Input,q,q,q,1,1
13,b73648cf,14,138367,138368,1,Nonproduction,CapsLock,CapsLock,NoChange,1,1
14,b73648cf,15,138725,138807,82,Input,q,q,q,2,1
15,b73648cf,16,138879,138963,84,Input,q,q,q,3,1
16,b73648cf,17,139057,139133,76,Input,Space,Space, ,4,1
17,b73648cf,18,139760,139836,76,Input,q,q,q,5,2
18,b73648cf,19,139964,140039,75,Input,q,q,q,6,2
19,b73648cf,20,140111,140212,101,Input,q,q,q,7,2
20,b73648cf,21,140491,140575,84,Input,q,q,q,8,2
21,b73648cf,22,140660,140729,69,Input,Space,Space, ,9,2
22,b73648cf,23,141172,141244,72,Input,q,q,q,10,3
23,b73648cf,24,141296,141386,90,Input,q,q,q,11,3
24,b73648cf,25,141400,141477,77,Input,q,q,q,12,3
25,b73648cf,26,141578,141658,80,Input,q,q,q,13,3
26,b73648cf,27,141770,141850,80,Input,q,q,q,14,3
27,b73648cf,28,141901,141985,84,Input,q,q,q,15,3
28,b73648cf,29,142063,142131,68,Input,Space,Space, ,16,3
29,b73648cf,30,145367,145445,78,Remove/Cut,Backspace,Backspace, ,15,3
30,b73648cf,31,145558,145628,70,Remove/Cut,Backspace,Backspace,q,14,3
31,b73648cf,32,145718,145782,64,Remove/Cut,Backspace,Backspace,q,13,3
