iter	Passed	Remaining
0	3	946
1	5	767
2	8	741
3	10	733
4	13	726
5	16	720
6	19	745
7	22	744
8	25	748
9	28	745
10	31	748
11	33	741
12	37	750
13	40	749
14	43	755
15	46	748
16	49	747
17	52	745
18	55	744
19	57	736
20	60	735
21	63	727
22	65	722
23	68	717
24	71	713
25	74	709
26	76	706
27	79	702
28	82	699
29	85	696
30	88	698
31	91	694
32	93	687
33	96	684
34	99	683
35	103	684
36	106	682
37	108	678
38	111	673
39	114	669
40	116	665
41	119	662
42	122	659
43	125	656
44	127	652
45	130	649
46	133	646
47	135	642
48	138	640
49	141	638
50	145	638
51	148	635
52	150	632
53	153	629
54	156	627
55	160	626
56	163	624
57	166	621
58	168	618
59	171	614
60	174	611
61	176	607
62	179	604
63	182	601
64	185	598
65	187	595
66	190	591
67	193	588
68	196	586
69	199	585
70	203	584
71	206	581
72	209	579
73	212	577
74	215	575
75	218	573
76	222	571
77	225	569
78	228	566
79	231	564
80	234	561
81	237	559
82	240	556
83	243	554
84	246	551
85	250	549
86	252	546
87	256	544
88	259	542
89	262	540
90	266	538
91	268	535
92	271	531
93	275	530
94	278	527
95	281	525
96	284	521
97	286	518
98	289	515
99	293	514
100	297	512
101	300	510
102	303	507
103	307	504
104	310	502
105	313	500
106	317	498
107	320	496
108	324	493
109	327	491
110	330	488
111	334	486
112	337	483
113	340	481
114	343	478
115	346	475
116	350	473
117	353	470
118	357	468
119	360	465
120	364	463
121	367	461
122	370	457
123	373	454
124	375	451
125	379	448
126	382	445
127	385	442
128	388	439
129	390	435
130	393	432
131	396	429
132	399	426
133	401	422
134	404	419
135	407	416
136	410	413
137	413	410
138	416	407
139	419	404
140	422	401
141	425	398
142	427	394
143	430	391
144	433	388
145	436	385
146	438	382
147	441	378
148	444	375
149	447	372
150	450	369
151	453	366
152	456	363
153	459	361
154	462	357
155	465	355
156	467	351
157	470	348
158	473	345
159	476	342
160	479	339
161	482	336
162	485	333
163	488	330
164	491	327
165	494	324
166	497	321
167	500	318
168	502	315
169	505	312
170	507	308
171	511	306
172	513	302
173	516	299
174	518	296
175	521	293
176	524	290
177	527	287
178	530	284
179	532	281
180	535	278
181	538	275
182	541	272
183	546	270
184	548	267
185	551	264
186	554	261
187	557	257
188	561	255
189	566	253
190	570	250
191	573	247
192	576	244
193	579	241
194	582	238
195	585	235
196	587	232
197	590	229
198	593	226
199	596	223
200	598	220
201	601	217
202	604	214
203	607	211
204	609	208
205	612	205
206	615	202
207	617	199
208	620	195
209	622	192
210	625	189
211	628	186
212	631	183
213	633	180
214	636	177
215	638	174
216	641	171
217	645	168
218	653	167
219	655	163
220	658	160
221	661	157
222	664	154
223	667	151
224	669	148
225	672	145
226	674	142
227	677	139
228	680	136
229	682	133
230	685	130
231	687	127
232	690	124
233	693	121
234	697	118
235	699	115
236	702	112
237	705	109
238	708	106
239	711	103
240	714	100
241	717	97
242	719	94
243	722	91
244	725	88
245	728	85
246	731	82
247	734	79
248	737	77
249	740	74
250	743	71
251	746	68
252	749	65
253	752	62
254	755	59
255	758	56
256	761	53
257	764	50
258	767	47
259	770	44
260	773	41
261	776	38
262	778	35
263	781	32
264	784	29
265	787	26
266	791	23
267	794	20
268	796	17
269	799	14
270	802	11
271	805	8
272	808	5
273	810	2
274	813	0
